発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1990-08-03,タイトー,地獄めぐり,-,3,ACT,"￥6,600","￥6,500代",0,1,,ささべやすまさ|藤原英裕,CRAZY-YOSHIKAWA|CREAMY TETSU,海道賢仁|鎗田準次|ながいひろやす,ピンチパンチ,,,
1990-08-09,ナムコ,ワルキューレの伝説,-,4,ACT,"￥6,800","￥7,000代",0,1,,WAN WAN(岡本進一郎)|もっとでたかった コアクマン(大川さゆり),WAN WAN|ぐりずりぃ やまだ,冨士宏,川田宏行,,,
1990-08-10,テンゲン,クラックス,30,2,PZL,"￥5,900","￥6,000代",0,1,,,デヴィッド・エーカース,マーク・スティーブン・ピアス,ブラッド・フラー,,,
1990-08-10,ハドソン,パワーリーグIII(Vol.31),30,3,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,
1990-08-10,ホームデータ,将棋初段一直線,-,2,ETC,"￥6,700","￥6,500代",0,1,,,,,,,,
1990-08-10,サンソフト,麻雀悟空スペシャル,30,3,ETC,"￥6,300","￥6,500代",0,1,,,,,,,,
1990-08-31,NECアベニュー,オペレーションウルフ,-,4,SHT,"￥7,200","￥7,000代",0,1,,,,,,,,
1990-09-07,フェイス,はにい･おんざ･ろおど,-,3,ACT,"￥6,400","￥6,500代",0,1,,,,,,,,
1990-09-07,ビクター音楽産業,暗黒伝説,-,2,ACT,"￥6,200","￥6,000代",0,1,,,白谷守,明貴美加,すずきひろとし,,小森治信,
1990-09-14,ニチブツ,F1サーカス,31,4,RCG,"￥6,900","￥7,000代",0,1,,,,,,,,
1990-09-14,トンキンハウス,関ヶ原,-,4,SLG,"￥6,800","￥7,000代",0,1,,,,,,,,
1990-09-21,NECアベニュー,ダライアスプラス,-,5,SHT,"￥9,800","￥10,000代",0,1,,河野敏男,長谷川健|くりやまたかし|とみおかひであき|菅原徹|笹谷ひでのり|橋本英樹,河野敏男|藤田朗|三方一哉|きたがわてつろう|わきたよしひろ|鎗田準次|石川幸生|五十嵐恒三|栗城源也|讃岐平|おがわみつる,たなかやすひこ|小倉久佳|八木下直人|なかむらつかさ|高橋英吉|高木正彦,,河野敏男,
1990-09-21,ハドソン,桃太郎活劇(Vol.32),-,4,ACT,"￥6,500","￥6,500代",0,1,,,,,,,,
1990-09-28,NECアベニュー,アフターバーナーII,-,4,SHT,"￥7,200","￥7,000代",0,1,,鈴木裕|浜垣博志,三船敏,鈴木裕,川口博史,,中山隼雄,
1990-09-28,UPL,ゴモラスピード(Vol.2),-,3,ACT,"￥6,700","￥6,500代",0,1,,,,,,,,
1990-09-28,パックインビデオ,ダイハード,-,2,ACT,"￥6,200","￥6,000代",0,1,,,,,,,,
1990-09-28,ナグザット,ダブルリング,-,3,SHT,"￥6,300","￥6,500代",0,1,,,,,,,,
