発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1994-12-20,アクレイムジャパン,NBAジャム💿,-,16,-,-,-,0,💿メガCD,,,ショーン・リプタク,マーク・ターメル|トニー・ゴスキー|ジョン・カールトン|サル・ディヴィタ|ジェイミー・リベット,ジョナサン・ヘイ,,,
1994-12-22,ゲームアーツ,ルナエターナルブルー💿,-,16,-,-,-,8,💿メガCD,,小山洋幸,小山洋幸,安住政敏|前田真宏|拔山敏弘,岩垂徳行|溝口功,重馬敬,,
1994-12-22,セガ,トムキャットアレイ💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-12-22,ビクター,ソウルスター💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1995-02-24,セガ,エコー・ザ・ドルフィンCD💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1995-02-24,ビクター,大封神伝💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1995-03-24,セガ,ダブルスイッチ💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1995-03-24,セガ,プライズファイター💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1995-03-31,ビクター,餓狼伝説スペシャル💿,-,16,-,-,-,0,💿メガCD,,,,塚本高史,清水敏夫|山田泰正|北村芳彦,,川崎英吉,
1995-09-01,セガ,ファーレンハイト💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1995-12-22,セガ,サージカルストライク💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1996-02-23,コンパイル,シャドウラン💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
