発売日,メーカー,タイトル,バックアップメモリ,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2004-12-16,キッズステーション,絶体絶命でんぢゃらすじーさん3～果てしなき魔物語～,0,3,ACT,?,?,0,,,,,,,,
2004-12-17,カルチャーブレーン,かわいいペットゲームギャラリー2,0,3,ETC,"￥3,654","￥3,500代",0,,,,,,,,
2004-12-17,カルチャーブレーン,ツインパズル,0,2,ETC,"￥3,599","￥3,500代",0,,,,,,,,
2004-12-22,エレクトロニック・アーツ,ロード・オブ・ザ・リング中つ国第三紀,0,4,RPG,"￥5,040","￥5,000代",0,,,,,ハワード・ショア,J・R・R・トールキン|『指輪物語』,,
2004-12-22,バンプレスト,金色のガッシュベル！！うなれ！友情の電撃2,0,4,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-23,コナミ,幻星神ジャスティライザー装着！地球の戦士たち,0,4,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-30,コナミ,遊戯王デュエルモンスターズインターナショナル2,0,4,CARD,"￥5,040","￥5,000代",0,,,,,,,,
2005-01-06,ナムコ,テイルズオブザワールドなりきりダンジョン3,0,4,RPG,"￥5,040","￥5,000代",0,,,,桝田省治,,前田圭士,吉積信,
2005-01-13,任天堂,マリオパーティアドバンス,0,3,ETC,"￥4,800","￥5,000代",0,,,,,,,,
2005-01-14,サクセス,みんなのソフトシリーズハッピートランプ20,0,2,TBL,"￥3,129","￥3,000代",0,,,,,,,,
2005-01-20,コナミ,ホビットの冒険ロードオブザリングはじまりの物語,0,4,RPG,?,?,0,,,,,,,,
2005-01-20,バンダイ,冒険王ビィトバスターズロード,0,4,RPG,?,?,0,,,,,,,,
2005-01-27,バンダイ,がんばれ！ドッジファイターズ,0,2,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-01-27,コーエー,三國志英傑伝,0,2,RPG,"￥5,040","￥5,000代",0,,,,,吉田明永,,フクザワ・エイジ,
2005-01-27,コーエー,三國志孔明伝,0,3,RPG,"￥5,040","￥5,000代",0,,,,,,,フクザワ・エイジ,
2005-01-27,マーベラスインタラクティブ,探偵神宮寺三郎白い影の少女,0,3,ADV,?,?,0,,石川浩一,近藤隆,寺田克也|今野恵美,"馳見 ""Ace"" 大地",中島良|中村誠|石川泰之,西山英一,
2005-02-03,バンプレスト,スーパーロボット大戦ORIGINALGENERATION2,0,4,RPG,?,?,0,,,,,,,,
2005-02-17,バンダイ,レジェンズサインオブネクロム,0,4,RPG,"￥6,279","￥6,500代",0,,小野勝巳,,小林一幸,安部純|武藤星児,渡辺けんじ,,
2005-02-24,カプコン,ロックマンエグゼ5チームオブカーネル,0,3,RPG,?,?,0,,,,,,,,
2005-03-10,tasuke,めざせ！甲子園！,0,3,SPT,?,?,0,,,,,,,古橋由依子|林絵里,
2005-03-10,任天堂,千年家族,0,4,SLG,"￥4,800","￥5,000代",0,,,,,,,,
2005-03-17,コナミ,カッパの飼い方-HowTobreedkappas-かぁたん大冒険,0,3,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-03-24,エム・ティー・オー,にゃんにゃんにゃんこのにゃんコレクション,0,3,TBL,?,?,0,,,,,,,,
2005-03-24,コーエー,真・三國無双アドバンス,0,4,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-03-31,タイトー,シャーク・テイル,0,3,ACT,"￥5,040","￥5,000代",0,,,,,ハンス・ジマー,ロブ・レターマン|マイケル・J・ウィルソン,,
2005-04-21,カプコン,ロックマンゼロ4,0,4,ACT,?,?,0,,,,,,,,
2005-04-21,コナミ,傑作選！がんばれゴエモン1.2ゆき姫とマッギネス,0,4,ACT,"￥3,990","￥4,000代",0,,,,,,,,
2005-04-21,バンプレスト,名探偵コナン暁のモニュメント,0,3,ADV,"￥5,040","￥5,000代",0,,,,,,,,
2005-04-28,バンダイ,ONEPIECEドラゴンドリーム！,0,4,RPG,"￥5,040","￥5,000代",0,,,,,,,,
2005-04-28,任天堂,TheTowerSP,0,3,SLG,"￥4,800","￥5,000代",0,,,,,,,,
