年月,都道府県,未使用1,未使用2,未使用3,店舗タイプ,未使用4,ジョブカテゴリ,カウント
2014-06-01,岩手県,-,-,-,総合,-,0,15
2014-06-01,宮城県,-,-,-,総合,-,0,24
2014-06-01,秋田県,-,-,-,総合,-,0,18
2014-06-01,山形県,-,-,-,総合,-,0,9
2014-06-01,福島県,-,-,-,総合,-,0,21
2014-06-01,茨城県,-,-,-,総合,-,0,33
2014-06-01,栃木県,-,-,-,総合,-,0,23
2014-06-01,群馬県,-,-,-,総合,-,0,38
2014-06-01,埼玉県,-,-,-,総合,-,0,81
2014-06-01,千葉県,-,-,-,総合,-,0,98
2014-06-01,東京都,-,-,-,総合,-,0,133
2014-06-01,神奈川県,-,-,-,総合,-,0,97
2014-06-01,新潟県,-,-,-,総合,-,0,31
2014-06-01,山梨県,-,-,-,総合,-,0,10
2014-06-01,長野県,-,-,-,総合,-,0,37
2014-06-01,富山県,-,-,-,総合,-,0,14
2014-06-01,石川県,-,-,-,総合,-,0,18
2014-06-01,福井県,-,-,-,総合,-,0,11
2014-06-01,岐阜県,-,-,-,総合,-,0,35
2014-06-01,静岡県,-,-,-,総合,-,0,31
2014-06-01,愛知県,-,-,-,総合,-,0,109
2014-06-01,三重県,-,-,-,総合,-,0,38
2014-06-01,滋賀県,-,-,-,総合,-,0,46
2014-06-01,京都府,-,-,-,総合,-,0,49
2014-06-01,大阪府,-,-,-,総合,-,0,174
2014-06-01,兵庫県,-,-,-,総合,-,0,80
2014-06-01,奈良県,-,-,-,総合,-,0,26
2014-06-01,和歌山県,-,-,-,総合,-,0,10
2014-06-01,鳥取県,-,-,-,総合,-,0,8
2014-06-01,島根県,-,-,-,総合,-,0,12
2014-06-01,岡山県,-,-,-,総合,-,0,26
2014-06-01,広島県,-,-,-,総合,-,0,40
2014-06-01,山口県,-,-,-,総合,-,0,27
2014-06-01,徳島県,-,-,-,総合,-,0,5
2014-06-01,香川県,-,-,-,総合,-,0,12
2014-06-01,愛媛県,-,-,-,総合,-,0,13
2014-06-01,高知県,-,-,-,総合,-,0,7
2014-06-01,福岡県,-,-,-,総合,-,0,90
2014-06-01,佐賀県,-,-,-,総合,-,0,13
2014-06-01,長崎県,-,-,-,総合,-,0,18
2014-06-01,熊本県,-,-,-,総合,-,0,33
2014-06-01,大分県,-,-,-,総合,-,0,27
2014-06-01,宮崎県,-,-,-,総合,-,0,14
2014-06-01,鹿児島県,-,-,-,総合,-,0,26
2014-06-01,沖縄県,-,-,-,総合,-,0,31
2014-07-01,北海道,-,-,-,総合,-,0,89
2014-07-01,青森県,-,-,-,総合,-,0,22
2014-07-01,岩手県,-,-,-,総合,-,0,16
2014-07-01,宮城県,-,-,-,総合,-,0,24
2014-07-01,秋田県,-,-,-,総合,-,0,19
2014-07-01,山形県,-,-,-,総合,-,0,9
2014-07-01,福島県,-,-,-,総合,-,0,21
2014-07-01,茨城県,-,-,-,総合,-,0,33
2014-07-01,栃木県,-,-,-,総合,-,0,23
2014-07-01,群馬県,-,-,-,総合,-,0,38
2014-07-01,埼玉県,-,-,-,総合,-,0,81
2014-07-01,千葉県,-,-,-,総合,-,0,99
2014-07-01,東京都,-,-,-,総合,-,0,131
2014-07-01,神奈川県,-,-,-,総合,-,0,97
2014-07-01,新潟県,-,-,-,総合,-,0,31
2014-07-01,山梨県,-,-,-,総合,-,0,10
2014-07-01,長野県,-,-,-,総合,-,0,37
2014-07-01,富山県,-,-,-,総合,-,0,14
2014-07-01,石川県,-,-,-,総合,-,0,18
2014-07-01,福井県,-,-,-,総合,-,0,11
2014-07-01,岐阜県,-,-,-,総合,-,0,35
2014-07-01,静岡県,-,-,-,総合,-,0,31
2014-07-01,愛知県,-,-,-,総合,-,0,110
2014-07-01,三重県,-,-,-,総合,-,0,38
2014-07-01,滋賀県,-,-,-,総合,-,0,46
