発売日,メーカー,タイトル,ハード,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,⭐クロスレビュー(評価),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1987-09-03,カルチャーブレーン,シェラザードアラビアンドリーム,FC,1M,RPG,"￥5,500","￥5,500代",0,-,,,,,,,,
1987-09-05,東芝ＥＭＩ,ゾイド中央大陸の戦い,FC,1M,RPG,"￥5,300","￥5,500代",0,-,,,,,,,,
1987-09-11,東映動画,SWAT,FC,1M,ADV,"￥5,300","￥5,500代",0,-,,,,,,,,
1987-09-11,ナムコ,デジタルデビル物語女神転生,FC,1M,RPG,"￥4,900","￥5,000代",0,31,,,,北爪宏幸|江崎稔,増子司,,,
1987-09-18,アイレム,スペランカーⅡ勇者への挑戦,FC,1M,ACT,"￥5,300","￥5,500代",0,-,,,,,,,,
1987-09-18,テクモ,つっぱり大相撲,FC,256K,ACT,"￥4,900","￥5,000代",0,-,,,猪瀬祥希,吉沢秀雄,山岸継司,,,
1987-09-22,ジャレコ,バイオ戦士DANインクリーザーとの闘い,FC,1M,ACT,"￥4,900","￥5,000代",0,-,,,,爬沼庵,増子司,,,
1987-09-24,HAL研究所,スターゲイト,FC,128K,SHT,"￥3,900","￥4,000代",0,-,,,,,,,,
1987-09-24,カプコン,井出洋介名人の実践麻雀,FC,1M,TBL,"￥6,500","￥6,500代",0,-,,,,,,,,
1987-09-25,タイトー,キョンシーズ2,FC,1M,RPG,"￥5,500","￥5,500代",0,-,,,,,,,,
1987-09-25,コナミ,沙羅曼蛇,FC,1M,ACT,"￥4,900","￥5,000代",0,-,,,町口浩康|たけもとみつお|高取利明|みのわいくこ,町口浩康|櫻井潤|よしたかみき|ばんどういくこ,波多野よしあき(SE・プログラム)|東野美紀(作曲),,,
1987-10-01,HAL研究所,ミリピート巨大昆虫の逆襲,FC,128K,SHT,"￥3,900","￥4,000代",0,-,,,,,,,,
1987-10-01,トンキンハウス,ロマンシア,FC,1M,RPG,"￥5,300","￥5,500代",0,-,,,木屋善夫|秋葉紀好,木屋善夫|山根朝郎,阿部隆人|古代祐三,五十嵐哲也,,
1987-10-02,アイレム,快傑ヤンチャ丸,FC,2M,ACT,"￥5,500","￥5,500代",0,-,,,,,,,,
1987-10-09,ポニーキャニオン,ウルティマ～恐怖のエクソダス～,FC,2M,RPG,"￥5,900","￥6,000代",0,32,,,,,,,,
1987-10-13,ジャレコ,エスパ冒険隊魔王の砦,FC,2M,ACT,"￥5,300","￥5,500代",0,-,,,,,坂本慎一,,,
1987-10-20,ケムコ,インドラの光,FC,1M,RPG,"￥5,300","￥5,500代",0,-,,しみずげんぞう,,すえだきみなり|てらざわようこ,増野宏之,,道浦忍,
1987-10-23,タイトー,ミネルバトンサーガラゴンの復活,FC,1M,RPG,"￥5,500","￥5,500代",0,-,,,森田和郎,米田仁士,大山曜|津田治彦,羅門祐人,,
1987-10-23,アスキー,覇邪の封印,FC,1M,RPG,"￥5,800","￥6,000代",0,-,,,,,堺香子,阿賀伸宏|鬼良あきら,,
1987-10-26,ハドソン,桃太郎伝説,FC,2M,RPG,"￥5,800","￥6,000代",100,32,,さくまあきら,,土居孝幸,関口和之|国本剛章(金太郎の村の曲とレベルアップ時のジングル),,,
1987-10-27,ホットビィ,星をみるひと,FC,1M,RPG,"￥5,300","￥5,500代",0,-,,,,,,,,
1987-10-28,バンダイ,カラオケスタジオ専用カセットトップヒット20Vol.1,FC,2M,ETC,"￥3,980","￥4,000代",0,-,,,,,,,,
1987-10-30,ナムコ,サイドポケット,FC,1M,SPT,"￥3,900","￥4,000代",0,-,,,,,,,,
1987-10-30,HAL研究所,ジャウスト,FC,128K,ACT,"￥3,900","￥4,000代",0,-,,,ビル・プフツェンロイター,ジョン・ニューカマー(英語版)|ジャン・ヘンドリクス|パイソン・アンゲロ(英語版),ティム・マーフィ|ジョン・コトラリク(音声),,,
1987-10-30,サンソフト,上海,FC,1M,PZL,"￥5,300","￥5,500代",0,-,,,,,,,,
