年,未使用1,税区分,未使用2,都道府県,市区町村,業種(サンプル),未使用,カウント
2008-01-01,0,1,不明,北海道,喜茂別町,業種G,0,5
2008-01-01,0,2,不明,北海道,喜茂別町,業種A,0,69
2008-01-01,0,0,不明,北海道,京極町,業種E,0,106
2008-01-01,0,1,不明,北海道,京極町,業種I,0,10
2008-01-01,0,2,不明,北海道,京極町,業種B,0,48
2008-01-01,0,0,不明,北海道,倶知安町,業種E,0,139
2008-01-01,0,1,不明,北海道,倶知安町,業種J,0,14
2008-01-01,0,2,不明,北海道,倶知安町,業種I,0,58
2008-01-01,0,0,不明,北海道,共和町,業種H,0,150
2008-01-01,0,1,不明,北海道,共和町,業種E,0,47
2008-01-01,0,2,不明,北海道,共和町,業種C,0,50
2008-01-01,0,0,不明,北海道,岩内町,業種F,0,85
2008-01-01,0,1,不明,北海道,岩内町,業種H,0,7
2008-01-01,0,2,不明,北海道,岩内町,業種H,0,28
2008-01-01,0,0,不明,北海道,泊村,業種F,0,669
2008-01-01,0,1,不明,北海道,泊村,業種I,0,74
2008-01-01,0,2,不明,北海道,泊村,業種G,0,541
2008-01-01,0,0,不明,北海道,神恵内村,業種D,0,82
2008-01-01,0,1,不明,北海道,神恵内村,業種D,0,3
2008-01-01,0,2,不明,北海道,神恵内村,業種F,0,27
2008-01-01,0,0,不明,北海道,積丹町,業種E,0,64
2008-01-01,0,1,不明,北海道,積丹町,業種F,0,3
2008-01-01,0,2,不明,北海道,積丹町,業種H,0,25
2008-01-01,0,0,不明,北海道,古平町,業種I,0,68
2008-01-01,0,1,不明,北海道,古平町,業種G,0,5
2008-01-01,0,2,不明,北海道,古平町,業種G,0,24
2008-01-01,0,0,不明,北海道,仁木町,業種B,0,73
2008-01-01,0,1,不明,北海道,仁木町,業種E,0,3
2008-01-01,0,2,不明,北海道,仁木町,業種G,0,36
2008-01-01,0,0,不明,北海道,余市町,業種J,0,88
2008-01-01,0,1,不明,北海道,余市町,業種C,0,5
2008-01-01,0,2,不明,北海道,余市町,業種D,0,35
2008-01-01,0,0,不明,北海道,赤井川村,業種A,0,253
2008-01-01,0,1,不明,北海道,赤井川村,業種E,0,6
2008-01-01,0,2,不明,北海道,赤井川村,業種I,0,200
2008-01-01,0,0,不明,北海道,南幌町,業種H,0,95
2008-01-01,0,1,不明,北海道,南幌町,業種G,0,5
2008-01-01,0,2,不明,北海道,南幌町,業種B,0,46
2008-01-01,0,0,不明,北海道,奈井江町,業種B,0,119
2008-01-01,0,1,不明,北海道,奈井江町,業種H,0,17
2008-01-01,0,2,不明,北海道,奈井江町,業種I,0,58
2008-01-01,0,0,不明,北海道,上砂川町,業種B,0,45
2008-01-01,0,1,不明,北海道,上砂川町,業種D,0,3
2008-01-01,0,2,不明,北海道,上砂川町,業種F,0,14
2008-01-01,0,0,不明,北海道,由仁町,業種C,0,91
2008-01-01,0,1,不明,北海道,由仁町,業種G,0,5
2008-01-01,0,2,不明,北海道,由仁町,業種D,0,47
2008-01-01,0,0,不明,北海道,長沼町,業種J,0,97
2008-01-01,0,1,不明,北海道,長沼町,業種J,0,5
2008-01-01,0,2,不明,北海道,長沼町,業種H,0,41
2008-01-01,0,0,不明,北海道,栗山町,業種E,0,98
2008-01-01,0,1,不明,北海道,栗山町,業種A,0,7
2008-01-01,0,2,不明,北海道,栗山町,業種B,0,44
2008-01-01,0,0,不明,北海道,月形町,業種B,0,76
2008-01-01,0,1,不明,北海道,月形町,業種D,0,4
2008-01-01,0,2,不明,北海道,月形町,業種B,0,31
2008-01-01,0,0,不明,北海道,浦臼町,業種I,0,134
2008-01-01,0,1,不明,北海道,浦臼町,業種J,0,5
2008-01-01,0,2,不明,北海道,浦臼町,業種E,0,71
2008-01-01,0,0,不明,北海道,新十津川町,業種C,0,77
2008-01-01,0,1,不明,北海道,新十津川町,業種A,0,3
2008-01-01,0,2,不明,北海道,新十津川町,業種B,0,34
2008-01-01,0,0,不明,北海道,妹背牛町,業種B,0,77
2008-01-01,0,1,不明,北海道,妹背牛町,業種A,0,4
2008-01-01,0,2,不明,北海道,妹背牛町,業種C,0,33
2008-01-01,0,0,不明,北海道,秩父別町,業種F,0,85
2008-01-01,0,1,不明,北海道,秩父別町,業種G,0,3
2008-01-01,0,2,不明,北海道,秩父別町,業種D,0,32
2008-01-01,0,0,不明,北海道,雨竜町,業種F,0,74
2008-01-01,0,1,不明,北海道,雨竜町,業種I,0,4
2008-01-01,0,2,不明,北海道,雨竜町,業種J,0,32
2008-01-01,0,0,不明,北海道,北竜町,業種E,0,71
2008-01-01,0,1,不明,北海道,北竜町,業種C,0,4
2008-01-01,0,2,不明,北海道,北竜町,業種I,0,33
2008-01-01,0,0,不明,北海道,沼田町,業種H,0,86
2008-01-01,0,1,不明,北海道,沼田町,業種J,0,4
2008-01-01,0,2,不明,北海道,沼田町,業種A,0,35
2008-01-01,0,0,不明,北海道,鷹栖町,業種I,0,109
2008-01-01,0,1,不明,北海道,鷹栖町,業種H,0,6
2008-01-01,0,2,不明,北海道,鷹栖町,業種D,0,60
2008-01-01,0,0,不明,北海道,東神楽町,業種B,0,112
2008-01-01,0,1,不明,北海道,東神楽町,業種I,0,6
2008-01-01,0,2,不明,北海道,東神楽町,業種B,0,51
2008-01-01,0,0,不明,北海道,当麻町,業種J,0,73
2008-01-01,0,1,不明,北海道,当麻町,業種H,0,5
2008-01-01,0,2,不明,北海道,当麻町,業種H,0,32
2008-01-01,0,0,不明,北海道,比布町,業種A,0,73
2008-01-01,0,1,不明,北海道,比布町,業種I,0,5
2008-01-01,0,2,不明,北海道,比布町,業種E,0,31
2008-01-01,0,0,不明,北海道,愛別町,業種E,0,79
2008-01-01,0,1,不明,北海道,愛別町,業種C,0,5
2008-01-01,0,2,不明,北海道,愛別町,業種G,0,40
2008-01-01,0,0,不明,北海道,上川町,業種F,0,162
2008-01-01,0,1,不明,北海道,上川町,業種J,0,12
2008-01-01,0,2,不明,北海道,上川町,業種C,0,77
2008-01-01,0,0,不明,北海道,東川町,業種I,0,109
2008-01-01,0,1,不明,北海道,東川町,業種F,0,8
2008-01-01,0,2,不明,北海道,東川町,業種F,0,59
2008-01-01,0,0,不明,北海道,美瑛町,業種A,0,94
2008-01-01,0,1,不明,北海道,美瑛町,業種J,0,4
2008-01-01,0,2,不明,北海道,美瑛町,業種D,0,43
2008-01-01,0,0,不明,北海道,上富良野町,業種H,0,86
2008-01-01,0,1,不明,北海道,上富良野町,業種B,0,6
2008-01-01,0,2,不明,北海道,上富良野町,業種E,0,34
2008-01-01,0,0,不明,北海道,中富良野町,業種G,0,86
2008-01-01,0,1,不明,北海道,中富良野町,業種J,0,5
2008-01-01,0,2,不明,北海道,中富良野町,業種H,0,40
2008-01-01,0,0,不明,北海道,南富良野町,業種J,0,89
2008-01-01,0,1,不明,北海道,南富良野町,業種I,0,6
2008-01-01,0,2,不明,北海道,南富良野町,業種F,0,42
2008-01-01,0,0,不明,北海道,占冠村,業種F,0,335
2008-01-01,0,1,不明,北海道,占冠村,業種H,0,44
2008-01-01,0,2,不明,北海道,占冠村,業種D,0,235
2008-01-01,0,0,不明,北海道,和寒町,業種C,0,72
2008-01-01,0,1,不明,北海道,和寒町,業種I,0,5
2008-01-01,0,2,不明,北海道,和寒町,業種H,0,31
2008-01-01,0,0,不明,北海道,剣淵町,業種E,0,69
2008-01-01,0,1,不明,北海道,剣淵町,業種G,0,3
2008-01-01,0,2,不明,北海道,剣淵町,業種F,0,34
2008-01-01,0,0,不明,北海道,下川町,業種A,0,79
2008-01-01,0,1,不明,北海道,下川町,業種H,0,4
2008-01-01,0,2,不明,北海道,下川町,業種F,0,39
2008-01-01,0,0,不明,北海道,美深町,業種A,0,77
2008-01-01,0,1,不明,北海道,美深町,業種I,0,4
2008-01-01,0,2,不明,北海道,美深町,業種H,0,34
2008-01-01,0,0,不明,北海道,音威子府村,業種I,0,99
2008-01-01,0,1,不明,北海道,音威子府村,業種D,0,12
2008-01-01,0,2,不明,北海道,音威子府村,業種I,0,36
2008-01-01,0,0,不明,北海道,中川町,業種I,0,94
2008-01-01,0,1,不明,北海道,中川町,業種H,0,4
2008-01-01,0,2,不明,北海道,中川町,業種C,0,44
2008-01-01,0,0,不明,北海道,幌加内町,業種A,0,95
