発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,価格帯,カウント,メモリ(S-RAM)(Kbit),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1994-04-28,アテナ,笑っていいとも!タモリンピック,-,4,ETC,"￥9,500","￥9,500代",0,0,,,,樋上いたる|門之園恵美|池田和美,折戸伸治|戸越まごめ|麻枝准,志茂文彦,馬場隆博,
1994-04-28,ヴァージンゲーム,ダイナマイト・ザ・ラスベガス,-,4,ETC,"￥8,900","￥9,000代",0,0,,,,,,,,
1994-04-28,タカラ,平成イヌ物語バウポップンスマッシュ!!,-,2,SPT,"￥7,800","￥8,000代",0,0,,,,,,,,
1994-04-28,日本物産,スーパーパチスロマージャン,-,4,TBL,"￥9,500","￥9,500代",0,16,,,,,,,,
1994-04-28,バンプレスト、ザムス,フォーチュン・クエストダイスをころがせ!,-,4,TBL,"￥9,800","￥10,000代",0,0,,,,,,深沢美潮,,
1994-04-29,テクノスジャパン,新・熱血硬派くにおたちの挽歌,-,7,ACT,"￥9,800","￥10,000代",0,0,,,山彦寛子,岸本未来|早川直行|桂木龍|松井龍作|ダップ|中村孝子,山根一史,横倉廣,富山徳之,
1994-04-29,日本テレネット,ダークキングダム,-,6,RPG,"￥9,800","￥10,000代",0,64,,,岩附宏和 山本雅康(tool) 後藤洋平(tool),折原綱義|土屋広継|牧由尚,,,大友美智男,
1994-04-29,アクレイムジャパン,NBAJAM(ジャム),-,7,SPT,"￥9,800","￥10,000代",0,0,,,,,,,,
1994-04-29,アスク講談社,ナイスDEショット,-,6,SPT,"￥9,800","￥10,000代",0,64,,,,,,大場つぐみ,,
1994-05-01,エポック社,Jリーグエキサイトステージ'94,31,6,SPT,"￥9,800","￥10,000代",0,64,,,,,,,,
1994-05-13,ビーアイ,伊達公子のバーチャルテニス,-,4,SPT,"￥9,000","￥9,000代",0,0,,,,,,,,
1994-05-20,ココナッツジャパンエンターテイメント,パチ夫くんSPECIAL2,-,4,TBL,"￥9,980","￥10,000代",0,64,,,,,,,,
1994-05-27,データイースト,ファイターズヒストリー,-,8,ACT,"￥9,800","￥10,000代",0,0,,,,,,,,
1994-05-27,バンダイ,クレヨンしんちゃん2大魔王の逆襲,-,2,ACT,"￥6,800","￥7,000代",0,0,,,,尾形和正|田中庸介|牛村憲彦,,,,
1994-05-27,ケイエスエス,競馬予想馬券錬金術,-,2,ETC,"￥9,500","￥9,500代",0,64,,,,,,,,
1994-05-27,テクノスジャパン,くにおのおでん,-,2,PZL,"￥6,900","￥7,000代",0,0,,,,,,,,
1994-05-27,BPS,ドリフトキング首都高バトル'94土屋圭市＆坂東正明,-,6,RCG,"￥9,800","￥10,000代",0,64,,,,,,,,
1994-05-27,パック・イン・ビデオ,スーパーバトルタンク2,-,7,SHT,"￥9,800","￥10,000代",0,0,,,,,,,,
1994-05-27,バンダイ,SDガンダムGX,-,4,SLG,"￥9,800","￥10,000代",0,64,,,,,,,,
1994-06-04,任天堂,ワイルドトラックス,32,4,RCG,"￥9,800","￥10,000代",0,512,,菱田達也,ジャイルズ・ゴダード|木村真人|山本健二|コリン・リード,高橋伸也|森直樹|黒梅知明|今村孝矢,天宅しのぶ,,宮本茂,
1994-06-08,ヘクト,サラブレッドブリーダーⅡ,-,7,ETC,"￥12,800","￥13,000代",0,256,,,,,,,,
1994-06-10,カプコン,ナイツオブザラウンド,-,6,ACT,"￥9,500","￥9,500代",0,0,,,綱崎裕三,,阿部功,,,
1994-06-10,ナムコ,幽☆遊☆白書2格闘の章,-,7,ACT,"￥9,600","￥9,500代",0,0,,,,,,,,
1994-06-10,日本ファルコム,ぽっぷるメイル,-,4,ACT,"￥8,800","￥9,000代",0,64,,木屋善夫,永嶋純,今井浩之|塩田雄一|田中久仁彦,石川三恵子|白川篤史,,加藤正幸,
1994-06-14,任天堂,スーパーゲームボーイ,-,1,ETC,"￥7,000","￥7,000代",0,0,,,,,,,,
1994-06-17,カルチャーブレーン,SD飛龍の拳,-,7,ACT,"￥9,800","￥10,000代",0,0,,,,,,,,
1994-06-17,ナツメ,奇々怪界-月夜草子-,-,6,ACT,"￥9,500","￥9,500代",0,0,,,,藤川純一,岩月博之|山下絹代|大橋春男|やまおあすか,,,
1994-06-17,パック・イン・ビデオ,やまねこバブジーの大冒険,-,7,ACT,"￥9,800","￥10,000代",0,0,,,,,,,,
1994-06-17,日本物産,スーパー4WDTHEBAJA(バハ),-,4,RCG,"￥8,800","￥9,000代",0,0,,,,,,,,
1994-06-17,EAV,ウルティマ外伝黒騎士の陰謀,-,4,RPG,"￥9,800","￥10,000代",0,16,,,,,,,,
1994-06-17,ココナッツジャパンエンターテイメント,ワールドカップストライカー,-,4,SPT,"￥9,980","￥10,000代",0,64,,,,,,,,
1994-06-17,ヒューマン,スーパーフォーメーションサッカー'94,-,4,SPT,"￥9,800","￥10,000代",0,256,,,,,,,,
1994-06-17,ビクターエンタテインメント,FIFAインターナショナル・サッカー,-,4,SPT,"￥9,800","￥10,000代",0,0,,,,,,,,
1994-06-17,アイマックス,スーパー将棋2,-,6,TBL,"￥9,800","￥10,000代",0,64,,,,,,,,
1994-06-24,サンソフト,バックス・バニーはちゃめちゃ大冒険,-,6,ACT,"￥9,200","￥9,000代",0,0,,,,,ナオト・インティライミ(作詞・作曲),,,
1994-06-24,ジャレコ,ジュラシック・パーク,-,7,ACT,"￥9,800","￥10,000代",0,0,,,,,,『Jurassic Park Adventures: Survivor』(2001年) 『Jurassic Park Adventures: Prey』(2001年) 『Jurassic Park Adventures: Flyers』(2002),,
