発売日,メーカー,タイトル,ハード,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1997-09-26,イマジニア,合格ボーイシリーズ高校入試歴史年代あんきポイント240,1,4,ETC,"￥2,480","￥2,500代",0,,,,,,,,
1997-09-27,任天堂,ゲームボーイギャラリー2,1,5,ETC,"￥3,000","￥3,000代",0,,山上仁志,高瀬栄|広尾敏文|やまざきたけし,城山功|たちばなえいじ,水田陽子|杉田仁,,出石武宏,
1997-10-01,イマジニア,合格ボーイシリーズ高校入試理科あんきポイント250,1,4,ETC,"￥2,480","￥2,500代",0,,,,,,,,
1997-10-10,BPS,スーパーボンブリス(再版),1,3,PZL,"￥3,980","￥4,000代",0,,,,,,,,
1997-10-17,Jウィング,あにまるぶりーだー,1,5,SLG,"￥4,800","￥5,000代",0,,,,,,,,
1997-10-17,バンダイ,ゲームで発見！！たまごっち2,1,5,SLG,"￥4,286","￥4,500代",145,,,,,,,,
1997-10-17,アトラス,プリクラポケット不完全女子高校性マニュアル,1,5,ADV,"￥3,980","￥4,000代",0,,,,,,,,
1997-10-31,イマジニア,合格ボーイシリーズよく使われる英検2級レベルの会話表現333,1,4,ETC,"￥2,480","￥2,500代",0,,,,,,,,
1997-11-21,ナグザット,コレクションポケット,1,4,ETC,"￥3,980","￥4,000代",0,,,,,,,,
1997-11-27,コナミ,悪魔城ドラキュラ～漆黒たる前奏曲～,1,4,ACT,"￥3,980","￥4,000代",0,,山下幸紀,山口佳輝,内田和伸,岡田蘭|岩田陽一,,福井博幸,
1997-11-28,イマジニア,会合格ボーイシリーズ「解体英語構文」完全準拠Z会究極の英語構文285,1,4,ETC,"￥2,480","￥2,500代",0,,,,,,,,
1997-11-28,ボトムアップ,トランプコレクション,1,3,TBL,"￥3,980","￥4,000代",0,,,,,,,,
1997-11-28,イマジニア,メダロット(カブトバージョン),1,5,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1997-11-28,イマジニア,メダロット(クワガタバージョン),1,5,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1997-11-29,アトラス,プリクラポケット2彼氏改造大作戦,1,5,SLG,"￥3,980","￥4,000代",0,,,,,,,,
1997-12-01,小学館,ドラえもんのスタディボーイ3九九マスター,1,5,ETC,"￥2,850","￥3,000代",0,,,,,,,,
1997-12-04,コナミ,がんばれゴエモン～黒船党の謎～,1,4,ACT,"￥3,980","￥4,000代",0,,山下幸紀,近藤誠|福井博幸,永井真,岡田蘭|岩田陽一|田中理恵,,福井博幸,
1997-12-05,イマジニア,サンリオうらないパーティ,1,4,ETC,"￥2,980","￥3,000代",0,,,,,,,,
1997-12-11,コナミ,コナミGBコレクションvol.2,1,5,ETC,"￥3,980","￥4,000代",0,,,,,,,,
1997-12-12,ハドソン,ポケットボンバーマン,1,5,ACT,"￥3,980","￥4,000代",0,,,,,竹間淳(6曲)|矢野慎也,,,
1997-12-12,バンプレスト,超魔神英雄伝ワタルまぜっこモンスター,1,5,SLG,"￥3,800","￥4,000代",0,,,,,,,,
1997-12-19,スターフィッシュ,カラムー町の大事件,1,4,ACT,"￥3,800","￥4,000代",0,,,,,,,,
1997-12-19,アクセラ,スタースイープ,1,4,PZL,"￥3,800","￥4,000代",0,,,,,,,,
1997-12-19,ケムコ,バックスバニーコレクション,1,4,ACT,"￥3,480","￥3,500代",0,,,,,,,,
1997-12-19,パック・イン・ソフト,牧場物語GB,1,5,SLG,"￥3,980","￥4,000代",0,,,SHIN SHIN|おにがわらのぶやす|ちゅうそんじきよと,和田康宏|まつやまいぐさ,田中剛,,和田康宏,
1997-12-26,ココナッツジャパンエンターテイメント,パチスロキッズ(ハッピープライス),1,3,ETC,"￥2,980","￥3,000代",0,,,,,,,,
1997-12-26,ココナッツジャパンエンターテイメント,パチスロキッズ2(ハッピープライス),1,3,ETC,"￥2,980","￥3,000代",0,,,,,,,,
1998-01-01,小学館,ドラえもんのスタディボーイ6学習漢字マスター1006,1,6,ETC,"￥2,850","￥3,000代",0,,,,,,,,
1998-01-10,新学社,ポケット漢字郎,1,5,ETC,"￥3,800","￥4,000代",0,,,,,,,,
1998-01-15,バンダイ,ゲームで発見！！たまごっちオスっちとメスっち,1,5,SLG,"￥4,286","￥4,500代",145,,,,,,,,
1998-01-30,アルトロン,ニューチェスマスター,1,2,TBL,"￥4,500","￥4,500代",0,,,,,,,,
1998-01-30,イマジニア,合格ボーイシリーズ学研慣用句・ことわざ210,1,4,ETC,"￥1,990","￥2,000代",0,,,,,,,,
1998-01-30,イマジニア,合格ボーイシリーズ学研小学校高学年レベル入試に出た要点ランク順四字熟語288,1,4,ETC,"￥1,990","￥2,000代",0,,,,,,,,
1998-02-19,コナミ,コナミGBコレクションvol.3,1,5,ETC,"￥3,980","￥4,000代",0,,,,,,,,
1998-02-20,ショウエイシステム,NAVYBLUE98,1,4,SLG,"￥3,980","￥4,000代",0,,,,,,,,
1998-02-21,任天堂,ポケットカメラ,1,6,ETC,"￥5,775","￥6,000代",0,,,,,,,,
1998-02-27,ハドソン,ネクタリスGB,1,5,SLG,"￥4,200","￥4,000代",0,,,,,,,,
1998-02-27,トミー,ポケットキョロちゃん,1,4,ADV,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-05,ハドソン,大貝獣物語ザ・ミラクル・オブ・ザ・ゾーン,1,5,TBL,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-06,光栄,もんすたあ★レース,1,5,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-06,講談社,頭文字D外伝,1,4,RCG,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-13,日本テレネット,パチンコCR大工の源さんGB,1,4,ETC,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-13,キッド,ポケットラブ2,1,6,SLG,"￥4,800","￥5,000代",0,,なかむらまさき,さいきただとし,市川久祥|さとうひでゆき|さっぽろももこ|じぇねらるわたなべ,やまさん,さっぽろももこ|のむら♥まりか,,
1998-03-19,コナミ,コナミGBコレクションvol.4,1,5,ETC,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-20,イマジニア,合格ボーイシリーズZ会<例文で覚える>中学英単語1132,1,4,ETC,"￥2,000","￥2,000代",0,,,,,,,,
1998-03-20,アイマックス,カンヅメモンスター,1,5,SLG,"￥4,500","￥4,500代",0,,,,,,,,
1998-03-20,エポック社,ドラえもんカート,1,4,RCG,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-20,イマジニア,メダロットパーツコレクション,1,5,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-20,イマジニア,合格ボーイシリーズ山川一問一答世界史B用語問題集,1,5,ETC,"￥2,480","￥2,500代",0,,,,,,,,
1998-03-26,コナミ,ゴッドメディスン復刻版,1,5,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-26,コナミ,パワプロGB,1,4,SPT,"￥3,980","￥4,000代",0,,,,,,,,
1998-03-27,タカラ,熱闘リアルバウト餓狼伝説スペシャル,1,5,FTG,"￥3,980","￥4,000代",0,,,,,,,,
1998-04-10,タイトー,パズルボブルGB,1,3,PZL,"￥3,500","￥3,500代",0,,,丸山尋司|野口順一郎,中久木成一|木下一洋,中山上等兵,,,
1998-04-22,イマジニア,合格ボーイシリーズ桐原書店頻出英文法・語法問題1000,1,4,ETC,"￥2,480","￥2,500代",0,,,,,,,,
1998-04-22,イマジニア,合格ボーイシリーズ山川一問一答新課程日本史B用語問題集,1,5,ETC,"￥2,480","￥2,500代",0,,,,,,,,
1998-04-24,ボトムアップ,ポケットバスフィッシング,1,3,SPT,"￥3,980","￥4,000代",0,,,,,,,,
1998-05-01,ケムコ,SELECTIONI＆II選ばれし者＆暗黒の封印,1,5,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1998-05-15,Jウィング,あにまるぶりーだー2,1,5,SLG,"￥4,800","￥5,000代",0,,,,,,,,
1998-05-22,トミー,日本代表チーム栄光のイレブン,1,4,SPT,"￥3,580","￥3,500代",0,,,,,,,,
1998-05-29,イマジニア,メダロットパーツコレクション2,1,5,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1998-05-29,イマジニア,合格ボーイシリーズ学研小学校高学年レベル入試に出た要点ランク順歴史512,1,4,ETC,"￥1,990","￥2,000代",0,,,,,,,,
1998-06-04,コナミ,ワールドサッカーGB,1,5,SPT,"￥3,980","￥4,000代",0,,,,,,,,
1998-06-05,Jウィング,ディノブリーダー2,1,5,SLG,"￥4,800","￥5,000代",0,,くれやまと,まつながちえみ|山本哲也,永島三人|ロボロフスキー|舟橋正恭|ZA-ZA KOBAYASHI,NIKAIUTA UOH,,,
1998-06-19,アスキー,ミニ四駆GBLet's＆Go！！オールスターバトルMAX,1,6,SLG,"￥4,800","￥5,000代",0,,,,,,,,
1998-06-19,カルチャーブレーン,忍たま乱太郎GB絵あわせチャレンジパズル,1,5,PZL,"￥3,980","￥4,000代",0,,,,,,,,
1998-06-26,イマジニア,合格ボーイシリーズ■いアタマを●くする。数字で遊ぼう算数編,1,4,ETC,"￥2,480","￥2,500代",0,,,,,,,,
1998-06-26,バンプレスト,いつでも！にゃんとワンダフル,1,4,SLG,"￥3,980","￥4,000代",0,,,,,,,,
1998-06-26,アイマックス,日刊べるとも倶楽部,1,5,SLG,"￥4,500","￥4,500代",0,,,,,,,,
1998-06-26,Jウィング,日本代表フランスでがんばれ！Jリーグサポーターサッカー,1,5,SPT,"￥5,500","￥5,500代",0,,,,,,,,
1998-07-02,コナミ,高気圧ボーイ,1,5,TBL,"￥3,980","￥4,000代",0,,,,山田信洋|田中真二|坂本充子,神尾憲一,吉川兆二,下村聡,
1998-07-10,イマジニア,合格ボーイシリーズ99年度版英単語センター1500,1,4,ETC,"￥2,480","￥2,500代",0,,,,,,,,
1998-07-10,Jウィング,GO！GO！ヒッチハイク,1,5,TBL,"￥4,800","￥5,000代",0,,,,,,,,
1998-07-10,パック・イン・ソフト,海のぬし釣り2,1,6,RPG,"￥3,600","￥3,500代",0,,,,,,,,
1998-07-17,スターフィッシュ,化石創世リボーン,1,5,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1998-07-24,バンダイ,グランダー武蔵RV,1,5,SPT,"￥5,800","￥6,000代",0,,,,加瀬政広(第1期)|平岡正幸|入好さとる(RV),淡海悟郎,藤本信行,,
1998-07-24,トミー,東京ディズニーランドファンタジーツアー,1,5,ETC,"￥4,200","￥4,000代",0,,,,,,,,
1998-07-24,スターフィッシュ,爆釣列伝翔～ハイパーバスフィッシング～,1,5,SPT,"￥3,980","￥4,000代",0,,,,,,,,
1998-07-24,バンダイ,魚群探知機ポケットソナー,1,5,ETC,"￥14,800","￥15,000代",0,,,,,,,,
1998-07-31,アクレイムジャパン,ブレインドレイン,1,3,PZL,"￥3,500","￥3,500代",0,,,,,,,,
1998-07-31,ジャレコ,早押しクイズ～王座決定戦～,1,5,TBL,"￥3,980","￥4,000代",0,,,,,,,,
1998-07-31,ハドソン,桃太郎電鉄jr.全国ラーメンめぐりの旅,1,5,TBL,"￥3,980","￥4,000代",0,,さくまあきら(監督)|こまいかずお,,土居孝幸,関口和之|宮路一昭,,浦敏治,
1998-08-06,サンソフト,上海Pocket,1,4,PZL,"￥3,980","￥4,000代",0,,,,,,,,
