発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,価格帯,売り上げ本数,ハード,👥クリエイターズ,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？,
1986-12-13,コナミ,謎の壁ブロックくずし💾,-,8,TBL,"￥2,980","￥3,000代",0,2,,,松岡伸治|青山和浩,神戸良治|霜出健治|きのしたまり|深沢由美子|難波和宏,前沢秀憲|船橋淳|竹安弘,,,-,-,-,-,-,
1986-12-15,スクウェア,水晶の龍💾,-,8,ADV,"￥3,400","￥3,500代",0,2,,,,佐藤元,植松伸夫,,,-,-,-,-,-,
1986-12-17,ソフトプロ,ブリーダー💾,-,8,ACT,"￥2,980","￥3,000代",0,2,,,,,,,,-,-,-,-,-,
1986-12-19,ジャレコ,ナイト・ロアー魔城の狼男💾,-,8,ACT,"￥3,200","￥3,000代",0,2,,,クリス・スタンパー|ジョン・ラスバリー,クリス・スタンパー|ティム・スタンパー|ティム・スタンパー|キャロル・スタンパー,,,,-,-,-,-,-,
1986-12-19,任天堂,光神話パルテナの鏡💾,-,8,ACT,"￥2,600","￥2,500代",109,2,,岡田智,BAN BAN|YOSHIKAWA|TOGAWA,大澤徹|松岡洋史|加納誠,田中宏和,大澤徹,横井軍平,-,-,-,-,-,
1986-12-19,スクウェア,魔洞戦記ディープダンジョン💾,-,8,RPG,"￥3,400","￥3,500代",0,2,,,,,,,,-,-,-,-,-,
1986-12-20,イマジニア,消えたプリンセス💾,-,8,ADV,"￥5,000","￥5,000代",0,2,,,堀本幸男,堀本れい子,やじろべえつの,デーモン飯田橋,デーモン飯田橋,-,-,-,-,-,
1986-12-25,アスキー,プロフェッショナル麻雀悟空💾,-,8,TBL,"￥2,980","￥3,000代",0,2,,,,,,,,-,-,-,-,-,
1986-12-26,コトブキシステム,エレクトシャン💾,-,8,ACT,"￥2,980","￥3,000代",0,2,,,,,,,,-,-,-,-,-,
1987-01-14,任天堂,リンクの冒険💾,36,8,ARPG,"￥2,600","￥2,500代",161,2,,杉山直|山村康久,森田和明|西山達夫|笠松栄弘|西田泰也|中郷俊彦,清水一伸,中塚章人,,山内溥|宮本茂,-,-,-,-,-,
1987-01-29,バンダイ,ウルトラマン怪獣帝国の逆襲💾,-,8,ACT,"￥3,300","￥3,500代",0,2,,,,,,,,-,-,-,-,-,
1987-01-29,HAL研究所,エッガーランド💾,-,8,PZL,"￥2,900","￥3,000代",0,2,,,,,,,,-,-,-,-,-,
1987-02-06,サンソフト,ナゾラーランド増刊号💾,-,8,ETC,"￥2,980","￥3,000代",0,2,,,,,,,,-,-,-,-,-,
1987-02-15,アイレム,きね子2💾,-,8,PZL,￥500,￥500代,0,2,,,,種子田定登,,,,-,-,-,-,-,
1987-02-20,コナミ,エスパードリーム💾,-,8,ARPG,"￥2,980","￥3,000代",0,2,,,きたもとしんじ|岸和田聡,風仁美|PRETTY MIYUKI,山下絹代,,,-,-,-,-,-,
1987-02-21,任天堂,ゴルフJAPANコース💾,-,8,SPT,"￥3,500","￥3,500代",74,2,,,,,,,,-,-,-,-,-,
