日付,性別,年齢,政党,都道府県,立候補者名,職業,職業カテゴリ(未使用),カウント,職業カテゴリ,選挙制度,小選挙区,前・元・新,当選回数,推薦,性別>年齢,政党>性別,政党>年齢>性別,政党>都道府県,政党>職業カテゴリ
2024-10-27,♀女性,72,自民,埼玉県,土屋 品子♀(72),元復興大臣、元厚生労働副大臣,0,1,大臣,小選挙区,16,前,9,公明,,,,,
2024-10-27,♂男性,63,立民,千葉県,田嶋 要♂(63),元経済産業政務官,0,1,政務官,小選挙区,01,前,8,-,,,,,
2024-10-27,♂男性,49,自民,千葉県,小林 鷹之♂(49),元経済安全保障担当大臣、元財務省課長補佐,0,1,大臣,小選挙区,02,前,5,公明,,,,,
2024-10-27,♂男性,62,自民,千葉県,松野 博一♂(62),元官房長官、元文部科学大臣,0,1,その他,小選挙区,03,前,9,公明,,,,,
2024-10-27,♂男性,34,立民,千葉県,水沼 秀幸♂(34),元東京海上日動火災保険課長代理,0,1,その他,小選挙区,04,新,1,-,,,,,
2024-10-27,♂男性,57,立民,千葉県,矢崎 堅太郎♂(57),元千葉県議会議員、元みずほ銀行行員,0,1,議員,小選挙区,05,新,1,-,,,,,
2024-10-27,♀女性,48,立民,千葉県,安藤 じゅん子♀(48),元千葉県議会議員、元出版社社員,0,1,議員,小選挙区,06,新,1,-,,,,,
2024-10-27,♂男性,65,自民,千葉県,齋藤 健♂(65),元経済産業大臣、元法務大臣,0,1,大臣,小選挙区,07,前,6,公明,,,,,
2024-10-27,♂男性,50,立民,千葉県,本庄 知史♂(50),立憲民主党代表補佐、元副総理秘書官,0,1,政党役職,小選挙区,08,前,2,-,,,,,
2024-10-27,♂男性,60,立民,千葉県,奥野 総一郎♂(60),立憲民主党役員室長、立憲民主党千葉県連代表,0,1,その他,小選挙区,09,前,6,-,,,,,
2024-10-27,♂男性,58,自民,千葉県,小池 正昭♂(58),元千葉県議会議員、社会福祉法人理事長,0,1,議員,小選挙区,10,新,1,公明,,,,,
2024-10-27,♂男性,76,自民,千葉県,森 英介♂(76),元法務大臣、元衆議院憲法審査会長,0,1,大臣,小選挙区,11,前,12,公明,,,,,
2024-10-27,♂男性,69,自民,千葉県,浜田 靖一♂(69),元自民党国会対策委員長、元防衛大臣,0,1,政党役職,小選挙区,12,前,11,公明,,,,,
2024-10-27,♂男性,62,自民,千葉県,松本 尚♂(62),防衛政務官、日本医科大学特任教授,0,1,政務官,小選挙区,13,前,2,公明,,,,,
2024-10-27,♂男性,67,立民,千葉県,野田 佳彦♂(67),立憲民主党代表、元総理大臣,0,1,政党役職,小選挙区,14,前,10,-,,,,,
2024-10-27,♂男性,75,立民,東京都,海江田 万里♂(75),元衆議院副議長、元経済産業大臣,0,1,議員,小選挙区,01,前,9,-,,,,,
2024-10-27,♂男性,45,自民,東京都,辻 清人♂(45),外務副大臣、元外務政務官,0,1,大臣,小選挙区,02,前,5,公明,,,,,
2024-10-27,♂男性,60,自民,東京都,石原 宏高♂(60),元総理大臣補佐官、元環境副大臣,0,1,大臣,小選挙区,03,前,6,公明,,,,,
2024-10-27,♂男性,57,自民,東京都,平 将明♂(57),デジタル大臣、元内閣府副大臣,0,1,大臣,小選挙区,04,前,7,公明,,,,,
2024-10-27,♂男性,58,立民,東京都,手塚 仁雄♂(58),立憲民主党幹事長代行、元総理大臣補佐官,0,1,政党役職,小選挙区,05,前,6,-,,,,,
2024-10-27,♂男性,45,立民,東京都,落合 貴之♂(45),立憲民主党副幹事長、元衆議院議員秘書,0,1,政党役職,小選挙区,06,前,4,-,,,,,
2024-10-27,♂男性,49,立民,東京都,松尾 明弘♂(49),弁護士、元ＩＴ関連企業役員,0,1,弁護士,小選挙区,07,元,2,-,,,,,
2024-10-27,♀女性,52,立民,東京都,吉田 晴美♀(52),元法務大臣秘書官、神田外語大学客員教授,0,1,大臣,小選挙区,08,前,2,社民都連合,,,,,
