年月,DI,未使用1,経営動向・景況感,現状・見通,変化,未使用4,ジョブカテゴリ,カウント
2015-03-01,売上高DI,-,経営動向,-,やや増加,-,0,2000
2015-03-01,売上高DI,-,経営動向,-,かなり増加,-,0,130
2015-04-01,売上高DI,-,経営動向,-,かなり減少,-,0,270
2015-04-01,売上高DI,-,経営動向,-,やや減少,-,0,1280
2015-04-01,売上高DI,-,経営動向,-,変わらない,-,0,1550
2015-04-01,売上高DI,-,経営動向,-,やや増加,-,0,5490
2015-04-01,売上高DI,-,経営動向,-,かなり増加,-,0,1420
2015-05-01,売上高DI,-,経営動向,-,かなり減少,-,0,180
2015-05-01,売上高DI,-,経営動向,-,やや減少,-,0,1280
2015-05-01,売上高DI,-,経営動向,-,変わらない,-,0,1990
2015-05-01,売上高DI,-,経営動向,-,やや増加,-,0,5710
2015-05-01,売上高DI,-,経営動向,-,かなり増加,-,0,840
2015-06-01,売上高DI,-,経営動向,-,かなり減少,-,0,510
2015-06-01,売上高DI,-,経営動向,-,やや減少,-,0,2440
2015-06-01,売上高DI,-,経営動向,-,変わらない,-,0,3230
2015-06-01,売上高DI,-,経営動向,-,やや増加,-,0,3500
2015-06-01,売上高DI,-,経営動向,-,かなり増加,-,0,320
2015-07-01,売上高DI,-,経営動向,-,かなり減少,-,0,440
2015-07-01,売上高DI,-,経営動向,-,やや減少,-,0,1930
2015-07-01,売上高DI,-,経営動向,-,変わらない,-,0,3380
2015-07-01,売上高DI,-,経営動向,-,やや増加,-,0,4040
2015-07-01,売上高DI,-,経営動向,-,かなり増加,-,0,220
2015-08-01,売上高DI,-,経営動向,-,かなり減少,-,0,360
2015-08-01,売上高DI,-,経営動向,-,やや減少,-,0,1960
2015-08-01,売上高DI,-,経営動向,-,変わらない,-,0,3530
2015-08-01,売上高DI,-,経営動向,-,やや増加,-,0,3930
2015-08-01,売上高DI,-,経営動向,-,かなり増加,-,0,220
2015-09-01,売上高DI,-,経営動向,-,かなり減少,-,0,500
2015-09-01,売上高DI,-,経営動向,-,やや減少,-,0,1760
2015-09-01,売上高DI,-,経営動向,-,変わらない,-,0,3620
2015-09-01,売上高DI,-,経営動向,-,やや増加,-,0,3620
2015-09-01,売上高DI,-,経営動向,-,かなり増加,-,0,500
2015-10-01,売上高DI,-,経営動向,-,かなり減少,-,0,440
2015-10-01,売上高DI,-,経営動向,-,やや減少,-,0,2180
2015-10-01,売上高DI,-,経営動向,-,変わらない,-,0,3200
2015-10-01,売上高DI,-,経営動向,-,やや増加,-,0,3960
2015-10-01,売上高DI,-,経営動向,-,かなり増加,-,0,220
2015-11-01,売上高DI,-,経営動向,-,かなり減少,-,0,750
